"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
236,"Gila At Arlington","2001-07-31 00:00:00","A",212.00000,32,,4,0,46,54,-4,0,0,0,0,13.59000,0,2,,,13,,,76.51371,0.06900,13.18700,396,0.39600,,737.00000,313,949.00000,199,217,764,13,62,89,1,6,0,11,71,82,,221,135,2,,,,,
237,"Gila At Arlington","2001-07-31 00:00:00","B",212.00000,32,,4,0,45,55,-5,0,0,0,0,13.40000,0,1,,,30,,,77.98974,0.05600,13.25100,390,0.39000,,753.00000,320,947.00000,199,230,766,13,61,87,1,7,0,11,73,83,,219,134,2,,,,,
238,"Gila At Arlington","2001-07-31 00:00:00","C",212.00000,32,,4,0,45,55,-5,0,0,0,0,13.24000,,,,,,,,75.85930,0.05400,13.15500,398,0.39800,,751.00000,319,949.00000,199,213,771,13,65,88,1,6,0,11,69,79,,,,,,,,,59
239,"Gila At Gillespie","2001-07-31 00:00:00","A",212.00000,32,,4,0,47,53,-4,0,0,0,0,13.23000,0,,,,,,,138.17712,0.06300,13.29700,221,0.22100,,801.00000,340,1005.00000,211,263,845,13,64,98,1,6,0,12,75,85,,228,138,2,,,,,
240,"Gila At Gillespie","2001-07-31 00:00:00","B",212.00000,32,,4,0,48,52,-4,0,0,0,0,13.03000,,,,,,,,135.51907,0.05800,13.04500,221,0.22100,,1345.00000,572,1006.00000,211,259,829,13,62,90,1,11,0,11,129,87,,234,143,2,,,,,
241,"Gila At Gillespie","2001-07-31 00:00:00","C",212.00000,32,2,4,0,47,53,-4,0,0,0,0,13.05000,,,,,,,,137.19504,0.05800,13.08700,219,0.21900,,793.00000,337,987.00000,207,258,836,13,65,90,1,7,0,11,72,81,,,,,,,,,67
242,"Gila At 115thAve","2001-09-11 00:00:00","A",254.00000,20,,6,0,100,0,0,0,,0,3,6.04000,1,14,0,15,9,39,5,5.41299,0.97300,4.23700,2200,2.20000,,225.00000,100,497.00000,100,89,372,22,103,36,0,5,0,3,13,26,,,,,,,,,
243,"Gila At 115thAve","2001-09-11 00:00:00","B",254.00000,20,,6,0,100,0,0,0,,0,,5.93000,1,12,,,10,,,5.41364,0.97500,4.23800,2201,2.20100,,224.00000,100,497.00000,100,109,378,21,99,37,0,5,0,3,13,27,,,,,,,,,
244,"Gila At 115thAve","2001-09-11 00:00:00","C",254.00000,20,10,6,0,100,0,0,0,,0,3,5.89000,1,11,0,14,10,42,4,5.41718,0.97200,4.26100,2208,2.20800,,225.00000,100,502.00000,101,106,369,20,98,38,0,4,0,3,13,27,,,,,,,,,5
245,"Buckeye Canal At Jackrabbit","2001-09-11 00:00:00","A",254.00000,20,,4,0,68,32,-2,0,,0,1,7.71000,1,15,0,3,4,269,63,12.54105,0.26600,6.34000,1204,1.20400,,333.00000,148,730.00000,146,149,530,16,79,66,1,4,0,6,25,49,,,,,,,,,
